"","ROI","contrast","subject","PS"
"299","HIPP_MERGE_BL","same mov scon no sub","sub11",0.060736
"300","HIPP_MERGE_BL","same mov dcon no sub","sub11",0.10003
"301","HIPP_MERGE_BL","share mov scon no sub","sub11",0.094103
"302","HIPP_MERGE_BL","share mov dcon no sub","sub11",0.087826
"303","HIPP_MERGE_BL","no share mov scon no sub","sub11",0.07869
"304","HIPP_MERGE_BL","no share mov dcon no sub","sub11",0.081001
"305","V12_BL","sseq scon no sub","sub11",0.65128
"306","V12_BL","sseq dcon no sub","sub11",0.61806
"307","V12_BL","dseq scon no sub","sub11",0.60078
"308","V12_BL","dseq dcon no sub","sub11",0.60234
"309","V12_BL","dstart send same context no sub","sub11",0.60587
"310","V12_BL","dstart send diff context no sub","sub11",0.59921
"311","V12_BL","sstart dend same context no sub","sub11",0.60395
"312","V12_BL","sstart dend diff context no sub","sub11",0.6057
"313","V12_BL","dstart dend same context no sub","sub11",0.5984
"314","V12_BL","dstart dend diff context no sub","sub11",0.60229
"315","V12_BL","same mov scon no sub","sub11",0.65128
"316","V12_BL","same mov dcon no sub","sub11",0.62271
"317","V12_BL","share mov scon no sub","sub11",0.57718
"318","V12_BL","share mov dcon no sub","sub11",0.62097
"319","V12_BL","no share mov scon no sub","sub11",0.60225
"320","V12_BL","no share mov dcon no sub","sub11",0.60074
"321","BA4ap","sseq scon no sub","sub11",0.35844
"322","BA4ap","sseq dcon no sub","sub11",0.31913
"323","BA4ap","dseq scon no sub","sub11",0.35316
"324","BA4ap","dseq dcon no sub","sub11",0.32249
"325","BA4ap","dstart send same context no sub","sub11",0.35156
"326","BA4ap","dstart send diff context no sub","sub11",0.31757
"327","BA4ap","sstart dend same context no sub","sub11",0.35208
"328","BA4ap","sstart dend diff context no sub","sub11",0.32403
"329","BA4ap","dstart dend same context no sub","sub11",0.35394
"330","BA4ap","dstart dend diff context no sub","sub11",0.32349
"331","BA4ap","same mov scon no sub","sub11",0.35844
"332","BA4ap","same mov dcon no sub","sub11",0.31096
"333","BA4ap","share mov scon no sub","sub11",0.34766
"334","BA4ap","share mov dcon no sub","sub11",0.33007
"335","BA4ap","no share mov scon no sub","sub11",0.3535
"336","BA4ap","no share mov dcon no sub","sub11",0.32282
"337","HIPP_MERGE_BL","sseq scon no sub","sub13",0.030907
"338","HIPP_MERGE_BL","sseq dcon no sub","sub13",0.017873
"339","HIPP_MERGE_BL","dseq scon no sub","sub13",0.012285
"340","HIPP_MERGE_BL","dseq dcon no sub","sub13",0.026309
"341","HIPP_MERGE_BL","dstart send same context no sub","sub13",0.030774
